0,4039,0,0
1,4038,0,1
2,4038,0,1
3,4038,0,1
4,4037,0,2
5,4036,0,3
6,4035,0,4
7,4035,0,4
8,4035,0,4
9,4034,0,5
10,4033,0,6
11,4030,0,9
12,4028,0,11
13,4025,0,14
14,4005,0,34
15,3983,0,56
16,3939,0,100
17,3843,1,195
18,3709,1,329
19,3582,1,456
20,3504,1,534
21,3439,2,598
22,3375,2,662
23,3293,3,743
24,3185,3,851
25,3081,3,955
26,2994,4,1041
27,2901,4,1134
28,2811,6,1222
29,2709,6,1324
30,2590,12,1437
31,2457,22,1560
32,2326,34,1679
33,2202,62,1775
34,2083,130,1826
35,1935,190,1914
36,1789,261,1989
37,1631,335,2073
38,1494,399,2146
39,1375,466,2198
40,1283,541,2215
41,1194,612,2233
42,1130,695,2214
43,1073,779,2187
44,1016,872,2151
45,954,973,2112
46,904,1079,2056
47,856,1179,2004
48,821,1284,1934
49,777,1410,1852
50,745,1523,1771
51,715,1643,1681
52,698,1772,1569
53,674,1906,1459
54,654,2018,1367
55,632,2151,1256
56,626,2258,1155
57,617,2378,1044
58,608,2477,954
59,597,2591,851
60,590,2666,783
61,583,2729,727
62,570,2813,656
63,560,2891,588
64,553,2979,507
65,541,3023,475
66,534,3074,431
67,521,3136,382
68,505,3177,357
69,493,3209,337
70,475,3247,317
71,464,3280,295
72,452,3303,284
73,449,3317,273
74,444,3346,249
75,437,3375,227
76,430,3394,215
77,422,3408,209
78,416,3419,204
79,413,3437,189
80,407,3444,188
81,403,3452,184
82,399,3464,176
83,395,3476,168
84,395,3482,162
85,392,3494,153
86,392,3505,142
87,391,3520,128
88,389,3528,122
89,388,3540,111
90,388,3556,95
91,388,3563,88
92,384,3574,81
93,384,3581,74
94,384,3591,64
95,384,3601,54
96,384,3607,48
97,384,3611,44
98,384,3620,35
99,382,3623,34
100,382,3628,29
101,382,3634,23
102,382,3638,19
103,382,3642,15
104,381,3644,14
105,381,3649,9
106,381,3649,9
107,381,3650,8
108,381,3651,7
109,381,3652,6
110,381,3653,5
111,381,3654,4
112,381,3654,4
113,381,3654,4
114,381,3654,4
115,381,3654,4
116,381,3654,4
117,381,3655,3
118,381,3656,2
119,381,3656,2
120,381,3656,2
121,381,3657,1
122,381,3657,1
123,381,3657,1
124,380,3657,2
125,380,3657,2
126,380,3657,2
127,380,3657,2
128,380,3657,2
129,380,3657,2
130,380,3657,2
131,380,3658,1
132,380,3658,1
133,380,3658,1
134,380,3658,1
135,380,3658,1
136,380,3658,1
137,380,3658,1
138,380,3658,1
139,380,3658,1
140,380,3658,1
141,380,3658,1
142,380,3658,1
143,380,3658,1
144,380,3658,1
145,380,3659,0
