0,4039,0,0
1,4038,0,1
2,4038,0,1
3,4037,0,2
4,4037,0,2
5,4036,0,3
6,4032,0,7
7,4027,0,12
8,4020,0,19
9,4010,0,29
10,4000,0,39
11,3977,0,62
12,3960,0,79
13,3949,0,90
14,3939,0,100
15,3927,0,112
16,3912,0,127
17,3903,0,136
18,3893,0,146
19,3874,0,165
20,3850,0,189
21,3817,0,222
22,3776,2,261
23,3735,4,300
24,3681,6,352
25,3616,15,408
26,3546,23,470
27,3486,33,520
28,3406,46,587
29,3347,54,638
30,3266,65,708
31,3181,76,782
32,3042,88,909
33,2846,100,1093
34,2583,111,1345
35,2402,121,1516
36,2207,127,1705
37,2020,141,1878
38,1821,165,2053
39,1631,194,2214
40,1421,229,2389
41,1163,263,2613
42,1030,316,2693
43,935,356,2748
44,855,414,2770
45,792,461,2786
46,725,520,2794
47,672,588,2779
48,614,666,2759
49,567,762,2710
50,516,913,2610
51,462,1055,2522
52,424,1216,2399
53,395,1382,2262
54,359,1556,2124
55,342,1722,1975
56,317,1899,1823
57,303,2109,1627
58,287,2293,1459
59,273,2447,1319
60,262,2582,1195
61,252,2713,1074
62,246,2833,960
63,242,2944,853
64,235,3031,773
65,230,3121,688
66,222,3195,622
67,220,3283,536
68,219,3369,451
69,218,3426,395
70,217,3472,350
71,216,3513,310
72,215,3553,271
73,213,3599,227
74,212,3622,205
75,211,3644,184
76,208,3665,166
77,207,3686,146
78,206,3703,130
79,206,3718,115
80,205,3732,102
81,203,3744,92
82,203,3756,80
83,203,3774,62
84,203,3780,56
85,203,3787,49
86,203,3793,43
87,203,3799,37
88,202,3802,35
89,202,3807,30
90,202,3808,29
91,202,3813,24
92,202,3817,20
93,202,3820,17
94,202,3822,15
95,202,3825,12
96,201,3827,11
97,201,3830,8
98,200,3832,7
99,200,3832,7
100,200,3833,6
101,200,3833,6
102,200,3834,5
103,200,3834,5
104,200,3835,4
105,200,3835,4
106,200,3836,3
107,200,3836,3
108,200,3836,3
109,200,3837,2
110,200,3837,2
111,200,3837,2
112,200,3837,2
113,200,3837,2
114,200,3837,2
115,200,3837,2
116,200,3837,2
117,200,3837,2
118,200,3838,1
119,200,3838,1
120,200,3838,1
121,200,3838,1
122,200,3838,1
123,200,3838,1
124,200,3839,0
