0,4039,0,0
1,4038,0,1
2,4036,0,3
3,4029,0,10
4,4010,0,29
5,3967,0,72
6,3897,0,142
7,3809,0,230
8,3712,0,327
9,3596,0,443
10,3473,0,566
11,3307,0,732
12,3050,0,989
13,2764,0,1275
14,2543,0,1496
15,2385,0,1654
16,2237,0,1802
17,2023,1,2015
18,1772,2,2265
19,1540,3,2496
20,1402,6,2631
21,1269,21,2749
22,1151,46,2842
23,1058,70,2911
24,962,121,2956
25,857,187,2995
26,742,267,3030
27,684,361,2994
28,625,484,2930
29,573,642,2824
30,526,814,2699
31,501,979,2559
32,484,1121,2434
33,464,1294,2281
34,442,1490,2107
35,418,1684,1937
36,403,1886,1750
37,395,2064,1580
38,388,2221,1430
39,377,2381,1281
40,363,2518,1158
41,344,2666,1029
42,325,2799,915
43,296,2924,819
44,273,3018,748
45,246,3105,688
46,222,3175,642
47,206,3244,589
48,197,3303,539
49,186,3364,489
50,179,3403,457
51,170,3441,428
52,163,3482,394
53,161,3518,360
54,159,3543,337
55,155,3572,312
56,150,3595,294
57,148,3623,268
58,147,3646,246
59,147,3668,224
60,147,3698,194
61,145,3716,178
62,145,3731,163
63,145,3752,142
64,144,3764,131
65,142,3779,118
66,142,3802,95
67,142,3815,82
68,142,3829,68
69,142,3842,55
70,142,3851,46
71,142,3859,38
72,142,3867,30
73,142,3871,26
74,142,3874,23
75,142,3876,21
76,142,3881,16
77,142,3884,13
78,142,3884,13
79,142,3885,12
80,142,3886,11
81,142,3887,10
82,142,3892,5
83,142,3894,3
84,142,3895,2
85,142,3895,2
86,142,3895,2
87,142,3896,1
88,142,3896,1
89,142,3897,0
